num_pages,source_fn,txt_fn,collection,num_chars,num_tokens,num_sentences,token_len,sentence_len,tokens_per_page,ISIN,country,pdf_only,language,is_empty
28,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000HVB2WR7.pdf,Final_terms/DE000HVB2WR7.pdf.txt,Final_terms,57152.0,10322.0,413.0,5.536911451269134,24.99273607748184,368.64285714285717,DE000HVB2WR7,DE,False,DE,
18,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000DK0JTT3.pdf,Final_terms/DE000DK0JTT3.pdf.txt,Final_terms,47433.0,7793.0,478.0,6.086616194020275,16.303347280334727,432.94444444444446,DE000DK0JTT3,DE,False,DE,
34,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000HLB34S6.pdf,Final_terms/DE000HLB34S6.pdf.txt,Final_terms,81489.0,12819.0,489.0,6.356892113269366,26.21472392638037,377.02941176470586,DE000HLB34S6,DE,False,DE,
29,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000HLB5EB4.pdf,Final_terms/DE000HLB5EB4.pdf.txt,Final_terms,67973.0,10702.0,412.0,6.351429639319753,25.975728155339805,369.0344827586207,DE000HLB5EB4,DE,False,DE,
20,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000HLB7B63.pdf,Final_terms/DE000HLB7B63.pdf.txt,Final_terms,59415.0,9138.0,353.0,6.501969796454366,25.886685552407933,456.9,DE000HLB7B63,DE,False,DE,
31,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000HLB3VQ1.pdf,Final_terms/DE000HLB3VQ1.pdf.txt,Final_terms,74954.0,11798.0,462.0,6.353110696728259,25.536796536796537,380.5806451612903,DE000HLB3VQ1,DE,False,DE,
192,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000A2YPAM7.pdf,Final_terms/DE000A2YPAM7.pdf.txt,Final_terms,488252.0,78650.0,2955.0,6.207908455181182,26.61590524534687,409.6354166666667,DE000A2YPAM7,DE,False,DE,
64,Basisprospekte/country_of_origin_DE/lang_DE/german_summary_144839963.pdf,Basisprospekte/german_summary_144839963.pdf.txt,Base_prospectuses,169352.0,34961.0,1471.0,4.844026200623552,23.7668252889191,546.265625,,,False,DE,
28,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000BLB6TW2.pdf,Final_terms/DE000BLB6TW2.pdf.txt,Final_terms,60416.0,10067.0,348.0,6.0013906824277345,28.92816091954023,359.5357142857143,DE000BLB6TW2,DE,False,DE,
2,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000A2LQK56.pdf,Final_terms/DE000A2LQK56.pdf.txt,Final_terms,6724.0,1257.0,52.0,5.3492442322991245,24.173076923076923,628.5,DE000A2LQK56,DE,False,DE,
21,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000NLB30F9.pdf,Final_terms/DE000NLB30F9.pdf.txt,Final_terms,56756.0,9628.0,321.0,5.8948899044453675,29.993769470404985,458.4761904761905,DE000NLB30F9,DE,False,DE,
92,Monthly_reports_BB/1958-08-monatsbericht-data.pdf,,BBK_monthly,,,,,,,,,True,,
26,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000BLB12G0.pdf,Final_terms/DE000BLB12G0.pdf.txt,Final_terms,58498.0,9787.0,314.0,5.977112496168386,31.168789808917197,376.4230769230769,DE000BLB12G0,DE,False,DE,
19,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000SLB8544.pdf,Final_terms/DE000SLB8544.pdf.txt,Final_terms,45161.0,7185.0,276.0,6.285455810716771,26.032608695652176,378.1578947368421,DE000SLB8544,DE,False,DE,
15,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000LB2BSC5.pdf,Final_terms/DE000LB2BSC5.pdf.txt,Final_terms,46592.0,7573.0,291.0,6.1523834675822,26.02405498281787,504.8666666666667,DE000LB2BSC5,DE,False,DE,
3,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000A3H2RM9.pdf,Final_terms/DE000A3H2RM9.pdf.txt,Final_terms,1965.0,370.0,16.0,5.3108108108108105,23.125,123.33333333333333,DE000A3H2RM9,DE,False,DE,
40,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000DDA0YA0.pdf,Final_terms/DE000DDA0YA0.pdf.txt,Final_terms,100896.0,18551.0,810.0,5.438844267155409,22.90246913580247,463.775,DE000DDA0YA0,DE,False,"EN,DE",
19,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000HLB7C70.pdf,Final_terms/DE000HLB7C70.pdf.txt,Final_terms,54482.0,8396.0,338.0,6.489042401143402,24.840236686390533,441.89473684210526,DE000HLB7C70,DE,False,DE,
6,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000A30V5G4.pdf,Final_terms/DE000A30V5G4.pdf.txt,Final_terms,13811.0,2276.0,92.0,6.068101933216169,24.73913043478261,379.3333333333333,DE000A30V5G4,DE,False,DE,
14,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000LB3M2K7.pdf,Final_terms/DE000LB3M2K7.pdf.txt,Final_terms,44980.0,7346.0,275.0,6.123060168799347,26.71272727272727,524.7142857142857,DE000LB3M2K7,DE,False,DE,
24,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000HLB2656.pdf,Final_terms/DE000HLB2656.pdf.txt,Final_terms,69518.0,10740.0,387.0,6.472811918063314,27.751937984496124,447.5,DE000HLB2656,DE,False,DE,
34,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000A289RE5.pdf,Final_terms/DE000A289RE5.pdf.txt,Final_terms,114345.0,22366.0,926.0,5.1124474649020835,24.153347732181427,657.8235294117648,DE000A289RE5,DE,False,"EN,DE",
7,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000HLB4XK8.pdf,Final_terms/DE000HLB4XK8.pdf.txt,Final_terms,19206.0,3007.0,96.0,6.387096774193548,31.322916666666668,429.57142857142856,DE000HLB4XK8,DE,False,DE,
144,Monthly_reports_BB/2003-01-monatsbericht-data.pdf,,BBK_monthly,,,,,,,,,True,,
1,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000BLB94J2.pdf,Final_terms/DE000BLB94J2.pdf.txt,Final_terms,1658.0,257.0,56.0,6.45136186770428,4.589285714285714,257.0,DE000BLB94J2,DE,False,"EN,DE",
44,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000NLB0389.pdf,Final_terms/DE000NLB0389.pdf.txt,Final_terms,128053.0,20901.0,749.0,6.126644658150328,27.90520694259012,475.02272727272725,DE000NLB0389,DE,False,DE,
4,Law/Gesetze_DE/SichLVFinV.pdf,Law/SichLVFinV.pdf.txt,Law,15406.0,2468.0,100.0,6.242301458670989,24.68,617.0,,,False,DE,
10,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000DFK0HF0.pdf,Final_terms/DE000DFK0HF0.pdf.txt,Final_terms,20886.0,3924.0,231.0,5.32262996941896,16.98701298701299,392.4,DE000DFK0HF0,DE,False,"EN,DE",
15,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000SLB1457.pdf,Final_terms/DE000SLB1457.pdf.txt,Final_terms,37804.0,6015.0,270.0,6.284954280964256,22.27777777777778,401.0,DE000SLB1457,DE,False,DE,
41,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000DK0SDU6.pdf,Final_terms/DE000DK0SDU6.pdf.txt,Final_terms,103748.0,16699.0,691.0,6.212827115396132,24.16642547033285,407.2926829268293,DE000DK0SDU6,DE,False,DE,
40,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000DFK0AN9.pdf,Final_terms/DE000DFK0AN9.pdf.txt,Final_terms,100987.0,18545.0,807.0,5.445510919385279,22.980173482032217,463.625,DE000DFK0AN9,DE,False,"EN,DE",
22,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000HLB2359.pdf,Final_terms/DE000HLB2359.pdf.txt,Final_terms,68205.0,10495.0,387.0,6.498808956646022,27.11886304909561,477.04545454545456,DE000HLB2359,DE,False,DE,
26,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000DFK0N27.pdf,Final_terms/DE000DFK0N27.pdf.txt,Final_terms,71590.0,13187.0,798.0,5.4288314248881475,16.525062656641605,507.1923076923077,DE000DFK0N27,DE,False,"EN,DE",
19,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000CZ45VX1.pdf,Final_terms/DE000CZ45VX1.pdf.txt,Final_terms,60777.0,13006.0,334.0,4.672997078271567,38.94011976047904,684.5263157894736,DE000CZ45VX1,DE,False,"EN,DE",
14,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000LB2BWU9.pdf,Final_terms/DE000LB2BWU9.pdf.txt,Final_terms,45413.0,7321.0,289.0,6.203114328643628,25.33217993079585,522.9285714285714,DE000LB2BWU9,DE,False,DE,
15,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000LB2BRE3.pdf,Final_terms/DE000LB2BRE3.pdf.txt,Final_terms,47770.0,7696.0,300.0,6.207120582120582,25.653333333333332,513.0666666666667,DE000LB2BRE3,DE,False,DE,
26,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000DFK0JM2.pdf,Final_terms/DE000DFK0JM2.pdf.txt,Final_terms,67354.0,12546.0,791.0,5.368563685636857,15.860935524652339,482.53846153846155,DE000DFK0JM2,DE,False,"EN,DE",
58,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000DK0FDN8_FT.pdf,,Final_terms,,,,,,,,,True,,
44,Final_terms/Country_of_origin_DE/lang_DE_EN/PR5REU.pdf,,Final_terms,,,,,,,,,True,,
25,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000A3H3J30.pdf,Final_terms/DE000A3H3J30.pdf.txt,Final_terms,111869.0,21891.0,661.0,5.110273628431775,33.11800302571861,875.64,DE000A3H3J30,DE,False,"EN,DE",
34,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000A3MP7C0.pdf,Final_terms/DE000A3MP7C0.pdf.txt,Final_terms,114941.0,22750.0,900.0,5.052351648351649,25.27777777777778,669.1176470588235,DE000A3MP7C0,DE,False,"EN,DE",
14,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000LB364H0.pdf,Final_terms/DE000LB364H0.pdf.txt,Final_terms,46057.0,7455.0,285.0,6.1780013413816235,26.157894736842106,532.5,DE000LB364H0,DE,False,DE,
21,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000HLB22S1.pdf,Final_terms/DE000HLB22S1.pdf.txt,Final_terms,56858.0,8610.0,334.0,6.603716608594658,25.778443113772454,410.0,DE000HLB22S1,DE,False,DE,
31,Final_terms/Country_of_origin_DE/lang_DE_EN/DE000LB2CQC7.pdf,Final_terms/DE000LB2CQC7.pdf.txt,Final_terms,70866.0,11853.0,381.0,5.978739559605163,31.11023622047244,382.35483870967744,DE000LB2CQC7,DE,False,DE,
